Genre,Actor,Director,Country,Budget_MUSD,Screens,Weeks,Screen_Stability,Ticket_Price,Shows_per_Day,Revenue_MUSD,Profit_MUSD,Target,Rating
Mystery,Suriya,Nick Park,South Korea,335,7707,9,Drop Fast,35,13,542.92,207.92,1,7.6
Sci-Fi,Keith David,Tatsuyuki Nagai,Denmark,175,6695,10,Drop Fast,23,7,191.53,16.53,1,8.3
Comedy,Hank Azaria,Neeraj Pandey,Italy,214,7153,8,Stable,58,11,1632.82,1418.82,1,8.2
Horror,Om Puri,Zack Snyder,Brazil,300,5253,14,Growing,40,8,1747.67,1447.67,1,10.0
Romance,Nick Kroll,Clint Eastwood,Australia,93,2872,5,Drop Fast,32,20,125.79,32.79,1,6.2
Animation,Liam Neeson,Ari Aster,Japan,171,1913,14,Drop Fast,25,16,315.82,144.82,1,10.0
Drama,Tom Hanks,Rich Moore,Brazil,32,4244,6,Slow Drop,33,23,656.42,624.42,1,8.0
Action,Suriya,James Cameron,India,242,835,5,Stable,13,11,30.82,-211.18,0,4.1
Horror,Meryl Streep,Billy Wilder,Australia,340,5334,6,Drop Fast,45,5,137.35,-202.65,0,3.8
Comedy,Ranveer Singh,Andrew Adamson,South Korea,67,6819,1,Slow Drop,51,7,78.4,11.4,1,4.4
Animation,Cate Blanchett,Deepa Mehta,India,259,7645,4,Drop Fast,74,16,597.33,338.33,1,6.3
Horror,Nancy Cartwright,Gitanjali Rao,Italy,400,6802,9,Stable,50,16,2903.51,2503.51,1,8.3
Comedy,Chris Rock,Satyajit Ray,Canada,45,237,4,Slow Drop,13,20,5.56,-39.44,0,4.1
Fantasy,Brian Tyree Henry,Edgar Wright,Canada,33,3975,2,Slow Drop,71,17,230.26,197.26,1,6.6
Fantasy,Idina Menzel,Andrei Tarkovsky,Japan,283,4285,6,Stable,20,19,326.89,43.89,1,7.1
Mystery,Alex Borstein,Mamoru Hosoda,China,84,8910,2,Slow Drop,72,15,468.19,384.19,1,6.2
Horror,Seth MacFarlane,Majid Majidi,India,55,5320,3,Slow Drop,45,15,360.88,305.88,1,6.5
Fantasy,Ian McKellen,Vishal Bhardwaj,Brazil,116,6944,7,Drop Fast,71,20,-1210.32,-1326.32,0,4.6
Comedy,Seth Green,Walt Disney,Germany,365,1241,4,Slow Drop,21,21,57.92,-307.08,0,2.7
Mystery,Pankaj Tripathi,Genndy Tartakovsky,Mexico,305,4915,1,Growing,24,15,95.26,-209.74,0,2.3
Comedy,Julia Louis-Dreyfus,Arnab Chaudhuri,New Zealand,94,1594,9,Stable,20,3,40.06,-53.94,0,5.3
Mystery,Robert Downey Jr.,Joseph L. Mankiewicz,Ireland,233,3069,6,Drop Fast,13,12,48.57,-184.43,0,4.5
Horror,Nawazuddin Siddiqui,Pedro Almodóvar,Belgium,154,3876,9,Slow Drop,13,6,89.86,-64.14,0,4.9
Animation,Idina Menzel,Barry Jenkins,Denmark,247,3921,3,Growing,44,20,1058.86,811.86,1,6.6
Romance,Yash,Genndy Tartakovsky,India,142,5890,5,Drop Fast,64,5,121.04,-20.96,0,4.6
Thriller,Tress MacNeille,Mira Nair,Spain,139,6018,9,Stable,60,11,2336.83,2197.83,1,8.4
Animation,Tiger Shroff,Gulzar,Spain,93,434,6,Slow Drop,53,23,89.27,-3.73,0,3.8
Sci-Fi,Dee Bradley Baker,Denis Villeneuve,Japan,19,3340,2,Stable,11,12,37.65,18.65,1,6.0
Comedy,Lakeith Stanfield,Bimal Roy,Brazil,337,8838,1,Stable,41,7,97.2,-239.8,0,3.3
Sci-Fi,Johnny Depp,David Lean,Denmark,366,8399,9,Slow Drop,73,9,1831.74,1465.74,1,9.0
Animation,Lake Bell,Christopher Miller,Canada,178,1199,1,Slow Drop,70,18,44.85,-133.15,0,1.6
Mystery,Tress MacNeille,Nishith Takia,Germany,94,1534,14,Drop Fast,68,14,459.02,365.02,1,10.0
Thriller,Ralph Fiennes,Jean-Pierre Jeunet,Denmark,217,8525,5,Stable,49,4,299.08,82.08,1,7.8
Thriller,Robert Downey Jr.,Pete Docter,Germany,347,8447,1,Slow Drop,71,8,148.97,-198.03,0,2.7
Action,Michael Che,Ashutosh Gowariker,Denmark,65,5288,5,Stable,24,16,340.55,275.55,1,6.3
Thriller,Hank Azaria,Hayao Miyazaki,United Kingdom,368,5679,5,Slow Drop,68,4,208.06,-159.94,0,4.4
Romance,Josh Gad,Chris Wedge,Brazil,224,6290,7,Stable,37,19,1340.43,1116.43,1,7.5
Thriller,Donald Glover,Chloe Zhao,United Kingdom,65,1311,7,Drop Fast,50,6,64.47,-0.53,0,4.8
Animation,Jane Lynch,S.S. Rajamouli,Germany,311,8535,11,Stable,14,19,1239.01,928.01,1,9.2
Action,Vijay Sethupathi,Martin Scorsese,China,170,3116,10,Slow Drop,53,15,819.1,649.1,1,9.5
Animation,Ashutosh Rana,Billy Wilder,India,16,6999,1,Growing,30,12,188.79,172.79,1,4.8
Animation,John Cho,Rajiv Chilaka,China,220,2303,9,Drop Fast,43,12,272.55,52.55,1,8.4
Drama,Chris Pratt,Peter Jackson,France,81,9011,1,Drop Fast,21,2,4.64,-76.36,0,2.9
Action,Eddie Murphy,Farhan Akhtar,Mexico,236,5325,5,Growing,27,9,497.07,261.07,1,7.4
Animation,Christian Bale,Sylvain Chomet,China,116,6790,7,Slow Drop,63,3,394.16,278.16,1,7.2
Drama,Mahesh Babu,Sofia Coppola,United States,70,3121,12,Drop Fast,39,1,26.95,-43.05,0,6.5
Drama,Antonio Banderas,Ron Clements,India,186,4934,8,Growing,32,14,1218.37,1032.37,1,7.2
Action,Elizabeth Banks,Sanjay Leela Bhansali,Belgium,427,3573,2,Growing,56,13,344.23,-82.77,0,2.9
Sci-Fi,Julie Kavner,Brad Bird,Japan,208,6954,14,Stable,64,5,1524.27,1316.27,1,10.0
Mystery,Tress MacNeille,S.S. Rajamouli,Brazil,427,1036,1,Stable,34,7,9.41,-417.59,0,1.4
Romance,David Spade,Gary Trousdale,New Zealand,375,9228,4,Slow Drop,34,14,436.12,61.12,1,6.4
Mystery,Helen Mirren,Ethan Coen,Mexico,210,6907,12,Growing,53,16,-4661.38,-4871.38,0,7.7
Thriller,Sharad Kelkar,Edgar Wright,Brazil,290,5512,4,Stable,52,18,741.27,451.27,1,7.4
Romance,Kamal Haasan,George Stevens,Belgium,109,4022,10,Slow Drop,33,14,553.24,444.24,1,8.7
Thriller,Amitabh Bachchan,Sylvain Chomet,Belgium,246,6353,12,Drop Fast,21,1,31.42,-214.58,0,6.7
Animation,Johnny Depp,Andrew Adamson,Russia,239,1004,6,Stable,55,6,93.82,-145.18,0,3.9
Comedy,Morgan Freeman,Katsuhiro Otomo,Belgium,180,1275,1,Slow Drop,22,21,17.17,-162.83,0,1.5
Action,Willem Dafoe,François Truffaut,Italy,215,4652,14,Stable,58,10,2035.62,1820.62,1,10.0
Romance,Jordan Peele,Denis Villeneuve,Thailand,35,1863,1,Drop Fast,61,6,9.53,-25.47,0,3.0
Romance,Don Rickles,Barry Jenkins,Belgium,239,7628,3,Drop Fast,18,2,11.96,-227.04,0,4.0
Animation,Nick Kroll,Terrence Malick,United States,246,2253,5,Stable,35,7,129.06,-116.94,0,4.9
Sci-Fi,Rajinikanth,François Truffaut,Belgium,157,2620,12,Drop Fast,62,17,613.91,456.91,1,10.0
Drama,Robert Downey Jr.,Paul Thomas Anderson,India,200,2728,6,Slow Drop,76,14,645.67,445.67,1,6.5
Animation,Bill Nighy,David Hand,Australia,439,4517,5,Stable,79,23,2090.16,1651.16,1,8.0
Fantasy,Rebel Wilson,Majid Majidi,United Kingdom,273,8177,13,Stable,33,7,1388.0,1115.0,1,10.0
Drama,Patton Oswalt,Goro Miyazaki,Russia,388,8906,13,Drop Fast,77,22,-995.06,-1383.06,0,8.0
Action,Michael Che,Kirk DeMicco,Australia,174,7427,13,Slow Drop,39,21,-1781.03,-1955.03,0,7.1
Drama,Julia Louis-Dreyfus,Arnab Chaudhuri,China,442,8612,5,Stable,55,9,1031.33,589.33,1,6.8
Sci-Fi,Ashutosh Rana,Joseph L. Mankiewicz,Spain,361,427,9,Stable,19,19,55.05,-305.95,0,4.6
Drama,Julia Louis-Dreyfus,K. Asif,Ireland,327,2537,2,Drop Fast,77,21,116.9,-210.1,0,1.9
Action,Reese Witherspoon,Ash Brannon,Spain,340,1155,12,Drop Fast,68,11,232.21,-107.79,0,7.1
Sci-Fi,Morgan Freeman,Peter Jackson,Denmark,236,1697,12,Slow Drop,41,3,91.19,-144.81,0,7.7
Mystery,John Ratzenberger,Rakeysh Omprakash Mehra,New Zealand,188,2178,1,Slow Drop,52,23,62.16,-125.84,0,1.8
Romance,Angelina Jolie,Prashanth Neel,Spain,363,1729,6,Drop Fast,67,4,38.89,-324.11,0,3.6
Romance,Jordan Peele,Gitanjali Rao,Belgium,279,2862,9,Slow Drop,72,5,295.19,16.19,1,8.0
Thriller,Clancy Brown,Sanjay Leela Bhansali,Thailand,434,6633,7,Growing,78,4,1371.72,937.72,1,7.2
Mystery,Nick Kroll,Hayao Miyazaki,Russia,403,7645,8,Growing,20,13,1302.83,899.83,1,7.8
Mystery,Rose Byrne,Nishith Takia,Thailand,36,4484,5,Drop Fast,55,9,184.26,148.26,1,6.2
Drama,Cate Blanchett,Chris Meledandri,Italy,181,9309,10,Stable,56,23,-137.89,-318.89,0,5.5
Romance,Steven Yeun,Hideaki Anno,United Kingdom,409,1401,4,Drop Fast,65,14,62.66,-346.34,0,4.4
Action,Vin Diesel,Phil Lord,France,69,7331,6,Drop Fast,77,16,672.24,603.24,1,8.2
Horror,Steven Yeun,Shyam Benegal,Mexico,202,959,3,Drop Fast,68,22,65.09,-136.91,0,2.8
Horror,Bill Hader,Alê Abreu,Japan,31,5773,1,Stable,33,6,41.94,10.94,1,6.4
Sci-Fi,Tim Allen,Neeraj Pandey,Denmark,155,5361,11,Growing,46,10,1736.38,1581.38,1,9.0
Romance,Colin Jost,Roman Polanski,China,307,4489,4,Slow Drop,65,23,703.68,396.68,1,7.0
Romance,John Cho,Darren Aronofsky,Russia,272,5646,9,Growing,34,21,3245.63,2973.63,1,8.9
Horror,Fred Armisen,Sunao Katabuchi,South Korea,89,4458,4,Slow Drop,47,13,254.94,165.94,1,5.7
Romance,Mahesh Babu,Rakeysh Omprakash Mehra,Belgium,70,4571,1,Slow Drop,38,3,15.1,-54.9,0,2.1
Drama,Ashutosh Rana,Rémi Bezançon,Germany,137,1865,14,Drop Fast,10,11,63.13,-73.87,0,8.5
Fantasy,Chris Pratt,Fritz Lang,Mexico,397,7118,4,Drop Fast,22,3,26.16,-370.84,0,2.7
Comedy,Colin Jost,Ash Brannon,Germany,408,6823,7,Slow Drop,61,7,655.94,247.94,1,7.1
Mystery,Tina Fey,Christopher Nolan,Germany,370,8851,3,Stable,77,10,1066.34,696.34,1,7.1
Thriller,Helena Bonham Carter,Fritz Lang,Brazil,86,7632,10,Stable,18,1,77.53,-8.47,0,5.1
Sci-Fi,Yeardley Smith,François Truffaut,Italy,385,6882,6,Stable,37,4,307.16,-77.84,0,4.3
Fantasy,Kristen Wiig,Sylvain Chomet,Russia,323,6428,14,Stable,42,8,1420.14,1097.14,1,10.0
Horror,Matthew McConaughey,Nishith Takia,Denmark,332,6027,1,Drop Fast,50,20,118.5,-213.5,0,3.3
Mystery,Christian Bale,Dean DeBlois,Germany,102,5635,11,Growing,68,17,-3342.9,-3444.9,0,7.4
Romance,Akshay Kumar,David Hand,Mexico,77,7836,4,Growing,47,5,602.96,525.96,1,6.6
Thriller,J.K. Simmons,Yash Chopra,India,331,1565,3,Slow Drop,49,17,139.74,-191.26,0,2.4
Romance,Issa Rae,Park Chan-wook,United States,34,7544,14,Stable,49,9,2508.72,2474.72,1,10.0
Action,Seth Green,Elia Kazan,United States,129,3401,1,Drop Fast,10,8,4.47,-124.53,0,2.8
Action,Clancy Brown,Phil Lord,United Kingdom,214,4952,3,Drop Fast,28,7,52.17,-161.83,0,3.4
Thriller,Ian McKellen,Hayao Miyazaki,Germany,276,6291,4,Drop Fast,60,5,107.41,-168.59,0,4.4
Thriller,Bonnie Hunt,Vikramaditya Motwane,Ireland,217,6814,5,Slow Drop,51,4,209.61,-7.39,0,4.8
Horror,Jim Carrey,Satyajit Ray,Canada,137,1721,6,Drop Fast,53,23,238.14,101.14,1,7.8
Thriller,Seth Green,Carlos Saldanha,Denmark,161,7721,2,Slow Drop,44,3,47.55,-113.45,0,2.0
Drama,Patton Oswalt,Shankar,China,51,6759,2,Slow Drop,45,8,174.13,123.13,1,5.0
Romance,Nancy Cartwright,Gitanjali Rao,Mexico,361,1823,6,Slow Drop,45,5,81.59,-279.41,0,4.2
Fantasy,Chris Rock,Ashutosh Gowariker,Canada,367,9073,5,Slow Drop,18,5,137.85,-229.15,0,3.6
Animation,Lakeith Stanfield,Yasujirō Ozu,Canada,386,3334,1,Drop Fast,52,17,45.4,-340.6,0,1.7
Thriller,David Spade,Walt Disney,South Korea,26,6020,3,Drop Fast,71,15,255.64,229.64,1,6.4
Sci-Fi,Bill Hader,James Cameron,Australia,445,5194,11,Growing,51,8,2255.73,1810.73,1,9.8
Action,Katey Sagal,Abbas Kiarostami,New Zealand,87,4896,5,Drop Fast,69,7,151.22,64.22,1,7.4
Drama,Christopher Lee,Karan Johar,France,423,2067,13,Stable,68,17,1737.77,1314.77,1,9.6
Mystery,Frank Welker,Orson Welles,France,238,3023,12,Stable,19,12,495.6,257.6,1,9.4
Animation,Rob Paulsen,Chloe Zhao,Ireland,64,6306,12,Slow Drop,16,4,187.08,123.08,1,9.2
Fantasy,Judi Dench,Farhan Akhtar,Canada,192,368,2,Slow Drop,74,20,35.63,-156.37,0,3.0
Animation,Josh Gad,Kireet Khurana,Canada,62,7987,1,Slow Drop,9,18,37.67,-24.33,0,2.5
Thriller,Vin Diesel,Tomm Moore,China,263,8830,9,Growing,15,4,380.27,117.27,1,8.6
Horror,Harry Shearer,Carlos Saldanha,Mexico,166,5109,5,Slow Drop,50,10,348.53,182.53,1,6.6
Action,Benedict Cumberbatch,Alfred Hitchcock,New Zealand,305,8227,2,Growing,25,3,88.04,-216.96,0,2.3
Action,Tilda Swinton,Orson Welles,Thailand,310,4881,10,Slow Drop,59,5,614.03,304.03,1,9.8
Mystery,Maggie Smith,Lokesh Kanagaraj,Italy,6,9255,4,Stable,46,12,726.62,720.62,1,5.7
Horror,J.K. Simmons,Yasujirō Ozu,Canada,275,5337,3,Slow Drop,38,23,405.97,130.97,1,6.5
Romance,Christian Bale,Satyajit Ray,Russia,425,8531,7,Drop Fast,21,5,113.96,-311.04,0,3.8
Comedy,Cecily Strong,Tatsuyuki Nagai,Germany,147,5434,1,Slow Drop,71,5,52.33,-94.67,0,1.8
Drama,Will Smith,Rémi Bezançon,Belgium,192,424,10,Drop Fast,51,4,16.19,-175.81,0,5.6
Action,Grey DeLisle,Chris Wedge,New Zealand,356,8949,12,Drop Fast,67,6,971.23,615.23,1,10.0
Sci-Fi,Chris Pratt,John Huston,United Kingdom,345,6782,12,Drop Fast,9,10,171.22,-173.78,0,6.1
Action,Josh Gad,Yasujirō Ozu,Canada,228,1773,4,Drop Fast,39,6,19.64,-208.36,0,4.5
Animation,Rebel Wilson,Katsuhiro Otomo,Ireland,371,8777,7,Growing,43,22,6490.5,6119.5,1,8.4
Action,Kate McKinnon,Bob Persichetti,Australia,184,8912,11,Growing,62,22,928.5,744.5,1,9.8
Action,Deepika Padukone,K. Asif,Italy,27,6963,10,Slow Drop,70,1,217.03,190.03,1,8.8
Comedy,Tom Kenny,Jennifer Yuh Nelson,Thailand,359,5417,13,Slow Drop,76,16,-1052.38,-1411.38,0,8.0
Comedy,Rashida Jones,Neeraj Pandey,Russia,41,3342,5,Growing,47,11,663.93,622.93,1,7.1
Fantasy,Keegan-Michael Key,Ridley Scott,Thailand,111,3701,4,Slow Drop,31,6,99.69,-11.31,0,3.3
Romance,Ashutosh Rana,S.S. Rajamouli,Germany,301,1699,4,Slow Drop,65,20,316.99,15.99,1,6.8
Sci-Fi,Tress MacNeille,Lokesh Kanagaraj,United States,233,9295,11,Growing,35,18,-4793.16,-5026.16,0,5.9
Action,Kevin Hart,Genndy Tartakovsky,France,317,6887,12,Growing,69,6,2494.91,2177.91,1,9.3
Action,Patrick Stewart,Robert Eggers,Germany,101,5445,14,Slow Drop,32,17,1584.01,1483.01,1,10.0
Drama,John Cho,William Wyler,Belgium,285,1944,2,Growing,14,12,39.22,-245.78,0,3.4
Comedy,Amy Poehler,Edgar Wright,Denmark,114,2239,8,Stable,45,17,687.83,573.83,1,8.2
Sci-Fi,Mike Myers,Ridley Scott,Brazil,41,8511,12,Drop Fast,78,21,819.68,778.68,1,9.6
Mystery,Vin Diesel,James Wan,Thailand,44,4057,4,Drop Fast,52,22,263.44,219.44,1,7.2
Fantasy,Billy Crystal,Nishith Takia,Belgium,89,5150,2,Stable,39,18,291.32,202.32,1,5.9
Romance,Kevin Michael Richardson,Bong Joon-ho,India,306,9407,9,Stable,39,10,1306.44,1000.44,1,8.4
Horror,Helena Bonham Carter,Bong Joon-ho,South Korea,192,7287,14,Slow Drop,8,20,523.6,331.6,1,10.0
Romance,Akshay Kumar,Karan Johar,Ireland,244,6231,14,Slow Drop,52,12,1916.38,1672.38,1,10.0
Animation,Steve Buscemi,George Miller,Brazil,362,1943,13,Drop Fast,71,4,141.77,-220.23,0,6.6
Action,Reese Witherspoon,Park Chan-wook,Japan,358,3741,12,Slow Drop,75,10,1385.64,1027.64,1,10.0
Fantasy,Ken Jeong,Kireet Khurana,United States,23,3816,10,Drop Fast,14,5,51.44,28.44,1,9.9
Animation,Vijay Sethupathi,Jennifer Yuh Nelson,New Zealand,351,4094,13,Slow Drop,45,4,490.32,139.32,1,10.0
Sci-Fi,Estelle Harris,James Wan,Thailand,397,1924,7,Slow Drop,77,16,482.21,85.21,1,7.8
Horror,Patrick Stewart,Mark Osborne,China,329,6427,3,Drop Fast,60,5,105.7,-223.3,0,3.9
Comedy,Billy Crystal,Jorge R. Gutierrez,France,265,4262,7,Stable,37,19,1353.39,1088.39,1,8.3
Fantasy,Ram Charan,Martin Scorsese,Canada,414,8047,1,Stable,29,6,56.74,-357.26,0,1.6
Fantasy,Prabhas,Kireet Khurana,Denmark,407,4481,12,Slow Drop,65,21,-1570.35,-1977.35,0,6.5
Action,Frank Welker,Majid Majidi,Germany,162,8463,1,Stable,62,7,172.49,10.49,1,4.9
Thriller,Tiger Shroff,Andrew Adamson,Germany,308,2400,4,Slow Drop,53,10,161.65,-146.35,0,4.6
Fantasy,Hailee Steinfeld,Dean DeBlois,Thailand,116,2343,4,Growing,33,7,116.07,0.07,1,7.1
Drama,Tilda Swinton,Bob Persichetti,Germany,148,3381,4,Growing,71,22,1704.53,1556.53,1,5.7
Horror,Kumail Nanjiani,Shoojit Sircar,Mexico,260,3075,9,Growing,16,14,489.52,229.52,1,9.4
Horror,Phil LaMarr,Kirk DeMicco,Denmark,22,6720,6,Stable,22,10,439.39,417.39,1,8.3
Drama,Beck Bennett,Vikramaditya Motwane,Italy,188,1296,3,Stable,26,20,82.23,-105.77,0,2.9
Mystery,Tom Kenny,Luis Buñuel,Japan,409,9115,6,Drop Fast,23,22,383.88,-25.12,0,4.7
Drama,Chris Rock,Kireet Khurana,Brazil,291,7118,2,Stable,32,11,176.62,-114.38,0,3.2
Drama,Varun Dhawan,Bob Persichetti,Canada,389,8348,2,Slow Drop,58,14,357.85,-31.15,0,3.3
Horror,Christopher Lee,Guillermo del Toro,Japan,135,3414,7,Drop Fast,53,12,358.14,223.14,1,8.2
Romance,Lake Bell,Ridley Scott,China,285,7949,14,Stable,14,4,353.02,68.02,1,10.0
Horror,Paul McCartney,Hrishikesh Mukherjee,South Korea,249,5764,3,Drop Fast,41,13,167.14,-81.86,0,4.1
Thriller,Tiffany Haddish,Pete Docter,Brazil,12,3071,7,Stable,65,22,1983.88,1971.88,1,7.8
Action,Christian Bale,Travis Knight,Australia,197,4689,3,Slow Drop,30,22,218.06,21.06,1,5.4
Animation,Jess Harnell,Shoojit Sircar,Brazil,322,4807,12,Growing,30,3,431.04,109.04,1,9.0
Romance,Beck Bennett,Kathryn Bigelow,Ireland,395,6964,12,Growing,24,13,2525.86,2130.86,1,8.8
Comedy,Tom Kenny,Goro Miyazaki,Italy,11,6034,2,Slow Drop,20,20,148.24,137.24,1,5.7
Animation,Suriya,Sergei Eisenstein,Canada,140,3599,4,Drop Fast,34,19,195.43,55.43,1,6.1
Action,Brad Pitt,Claude Barras,Thailand,23,5578,4,Growing,73,15,1565.92,1542.92,1,7.4
Thriller,Cree Summer,Luc Besson,United States,405,2057,3,Stable,37,19,219.64,-185.36,0,3.9
Thriller,Steven Yeun,Darren Aronofsky,Ireland,143,7804,9,Stable,11,20,818.22,675.22,1,9.3
Comedy,Mindy Kaling,Tomm Moore,India,371,7931,6,Drop Fast,74,4,258.02,-112.98,0,5.1
Romance,Wallace Shawn,Quentin Tarantino,China,181,2596,5,Drop Fast,21,6,32.1,-148.9,0,3.6
Mystery,Priyanka Chopra,Rakeysh Omprakash Mehra,Germany,15,2461,13,Slow Drop,18,15,331.0,316.0,1,10.0
Drama,Mahesh Babu,Robert Zemeckis,Japan,45,1512,12,Growing,47,4,276.13,231.13,1,9.4
Romance,Donald Glover,Vetrimaaran,Russia,118,2505,12,Drop Fast,10,6,31.79,-86.21,0,6.0
Mystery,George Takei,Taika Waititi,Thailand,184,5707,6,Growing,8,2,30.87,-153.13,0,5.2
Thriller,Sandra Oh,Tatsuyuki Nagai,Denmark,198,2941,13,Growing,16,4,210.56,12.56,1,10.0
Horror,Ken Jeong,Kathryn Bigelow,United Kingdom,200,3536,11,Stable,8,18,229.75,29.75,1,8.7
Action,Owen Wilson,Damien Chazelle,Spain,352,7680,8,Drop Fast,23,15,492.02,140.02,1,7.6
Comedy,Rajinikanth,Jorge R. Gutierrez,Ireland,229,5359,5,Slow Drop,79,12,811.45,582.45,1,6.9
Action,Mahesh Babu,Katsuhiro Otomo,Russia,335,1197,13,Drop Fast,53,8,153.34,-181.66,0,6.3
Sci-Fi,Andy Serkis,Bob Persichetti,Canada,327,6553,13,Growing,17,12,1228.9,901.9,1,9.7
Sci-Fi,Meryl Streep,Ava DuVernay,France,428,2519,4,Stable,40,9,194.13,-233.87,0,4.0
Romance,Prabhas,Kyle Balda,Mexico,265,3407,7,Drop Fast,48,7,159.94,-105.06,0,5.6
Thriller,Zendaya,Raj Kapoor,India,120,8990,12,Drop Fast,58,22,326.2,206.2,1,10.0
